Event,Description,Neighborhood,Date,Cost
15th Annual Martin Luther King Jr Day Parade,(Not Provided),Downtown,1/20/2019,$$
18th Annual St Patricks Day Parade  Festival,(Not Provided),Balboa Park,3/16/2019,$
3rd Annual San Diego Bird Festival,(Not Provided),Mission Bay,5/12/2019,$$
4th Annual International Mariachi Festival,(Not Provided),South Bay,3/10/2019,$$
4th Annual Small Image Show,"Art Exhibition Featuring Works 10x10"" and Smaller",Downtown,4/21/2019,$$
6th San Diego International Jewish Film Fest,,La Jolla,2/17/2019,$
7th Annual San Diego Improv Festival,(Not Provided),Downtown,4/12/2019,$$
7th Annual Spring HomeGarden Show,(Not Provided),North Coastal,1/3/2019,$$
8th Annual San Diego Cake Show,Confections for a Cause,North Coastal,7/7/2019,$$
A Tribute to Pam Whidden,Models are to Artists Like Flowers are to Bees,Downtown,2/23/2019,$$
Adventure Day Sail on Galleon Replica San Salvador,Maritime Museum of San Diego hosts 4-hour day sail,Downtown,1/7/2019,$$
Allinclusive Bachelorette Parties,Let Us Help You Celebrate the Bride-to-be!,La Jolla,Ongoing,$$
Amazing Scavenger Hunt Adventure,Old Town/Little Italy/Waterfront,Mission Valley,Ongoing,$$
Amazing Scavenger Hunt Adventure  Balboa Park,Experience your own amazing race in Balboa Park,Downtown,Ongoing,$$
Amen Dunes,(Not Provided),North Coastal,1/12/2019,$$
An Evening of Middle Eastern Classical Music,Presented by the Center for World Music,La Jolla,1/26/2019,$$
ANOC World Beach Games San Diego,We Live the Beach Games,Mission Bay,3/12/2019,$$
AntiValentines Day at Barefoot Bar  Grill,(Not Provided),Mission Bay,2/14/2019,$$
Art Alive,The Museum in Full Bloom,Downtown,Ongoing,$$
Art Alive  Flower Crown Workshop,(Not Provided),Downtown,4/13/2019,$$
ASD Morning,(Not Provided),Downtown,1/13/2019,$$
Balboa Park Historic Highlights  Secret Spots,Explore a Cultural Treasure w/Optional 1-Day Pass,Downtown,Ongoing,$$
Beer Geek Tour,(Not Provided),Mission Valley,1/26/2019,$$
Beer Tasting Party,Elevate Your Next Luncheon or Dinner!,La Jolla,Ongoing,$$$
Best Coast Beer Fest,San Diego's Favorite Beer Festival,Downtown,3/9/2019,$$
Big Bay Boom,The Largest Fireworks Show in San Diego County,Downtown,7/4/2019,$$
Black  Gold New Years Eve Party,Waterfront Celebration Aboard Historic Ship,Downtown,12/31/2019,$$
Black Mountain Trail Run,(Not Provided),North Inland,4/7/2019,$$
BLOOM BASH,(Not Provided),Downtown,4/12/2019,$$
Bob Matheny Almost Anonymous,The work of San Diego-based artist Bob Matheny,Balboa Park,Ongoing,$$
Bon Temps Second Saturday Dance,The Most Fun You'll Find This Side of the Bayou!,Balboa Park,Ongoing,$$
Borrego Springs Film Festival,(Not Provided),East County,1/17/2019,$$
Breast Cancer Cheering Station,Supporting the Susan G. Komen 3 Day Walk,North Coastal,11/15/2019,$$
Brewbies Beer Festival,(Not Provided),North Coastal,2/9/2019,$$
Breweries of San Diego  Beer Train Trolley Tour,(Not Provided),La Jolla,Ongoing,$$
Cabrillo Festival,(Not Provided),Point Loma,1/21/2019,$
Cabrillo Sunrise K Fun Run  Walk,(Not Provided),Point Loma,2/9/2019,$$
Cabrillo Sunset K,(Not Provided),Point Loma,7/20/2019,$$
Cabrillo Under the Stars,(Not Provided),Point Loma,5/18/2019,$$
Campagnolo Gran Fond San Diego,(Not Provided),Little Italy,4/7/2019,$$
Campagnolo GranFondo San Diego,(Not Provided),Downtown,4/7/2019,$$
Cardiff Kook Run,(Not Provided),North Coastal,2/3/2019,$$
Carlsbad Marathon Half Marathon,(Not Provided),North Coastal,1/20/2019,$$
Central SD Culinary Tour,(Not Provided),Mission Valley,3/30/2019,$$
Chauffeured Brewery Tour,Experience SD's Craft Brewery Scene!,La Jolla,Ongoing,$$$
Chinese New Year Fair,(Not Provided),Downtown,2/21/2019,FREE
Chocolate Festival,(Not Provided),North Coastal,5/11/2019,$
Circle of Art,30th Anniversary,East County,7/31/2019,$$
ComicCon International San Diego,The Largest Pop Culture Event in the United States,Downtown,7/7/2019,$
ConDor Con,Through the Looking Glass: Alternate Realities,Mission Valley,8/12/2019,$$
Cooking Class and Dinner,at The Marine Room,La Jolla,2/6/2019,$$$
Coronado Bay and the Beach Tour,Cruise to the luxe life in this unique beach town,City-wide,Ongoing,$$
Coronado Valentines Day K K   Mile Run,(Not Provided),Coronado,2/10/2019,$$
CRSSD Festival,(Not Provided),Downtown,2/3/2019,$$
Cruisin Grand Escondido,Every Friday Night From April Through September,North Inland,Ongoing,$$
Daring Greatly,(Not Provided),North Coastal,1/16/2019,$$
Diana,World-Premiere Musical,La Jolla,9/12/2019,$$
Discover Exoplanets,The Search for Alien Worlds,Balboa Park,Ongoing,$
Disneyland Tour,from San Diego,Downtown,Ongoing,$$
Escape The Nat Botanic Panic,Solve a natural history mystery,Downtown,Ongoing,$$
Escondido Chocolate Festival,For The Love Of Chocolate!,North Inland,2/9/2019,$$
Eva Struble  Scott Polach  A Duo Show,(Not Provided),Downtown,Ongoing,$$
Exhibition Abducting Reality Alexander Arshansky,(Not Provided),Downtown,Ongoing,$$
Exhibition Convergence  A Group Show,(Not Provided),Downtown,Ongoing,$$
