Name,Address,Category,# of Reviews,Cost
SeaWorld San Diego,"500 Sea World Drive, San Diego, CA 92109-7904",Things to do,9485,$$$
Mt. Soledad National Veterans Memorial,"6905 La Jolla Scenic Drive South, La Jolla, San Diego, CA 92037",Things to do,2240,$
Pacific Surf School,"4121 Mission Blvd, San Diego, CA 92109-5028",Boat Tours  Water Sports,1156,$$
San Diego Fly Rides,"7444 Girard Ave, La Jolla, San Diego, CA 92037-3614",Tours,1113,$$
Belmont Park,"3146 Mission Blvd, San Diego, CA 92109-7767",Things to do,764,$
Duffy of San Diego,"1548 Quivira Way, San Diego, CA 92109-8305",Food  Drink,552,$$
Mission Bay Park,"2688 E Mission Bay Dr, San Diego, CA 92109-6802",Things to do,551,$
Windansea Beach,"6800 Neptune Place, La Jolla, San Diego, CA 92083",Things to do,529,$$
Mission Bay Aquatic Center,"1001 Santa Clara Pl, San Diego, CA 92109-7228",Boat Tours  Water Sports,431,$$
Mission Bay Sportcenter,"1010 Santa Clara Pl, San Diego, CA 92109-7227",Boat Tours  Water Sports,386,$$
San Diego Sand Castles,"4306 Ocean View Blvd, San Diego, CA 92113-1916",Classes  Workshops,353,$$
Escapology,"3116 Mission Blvd, San Diego, CA 92109-8725",Fun  Games,350,$$
Quicksand Escape Games,"1001 Garnet Ave, San Diego, CA 92109-2834",Fun  Games,342,$$
Harvard Cookin' Girl,"7441 Girard Ave, La Jolla, San Diego, CA 92037-5143",Food  Drink,295,$$
Lajollacooks4u,"2094 Caminito Capa, La Jolla, San Diego, CA 92037-5705",Food  Drink,276,$$$
Jetpack America,"1010 Santa Clara Pl, San Diego, CA 92109-7227",Boat Tours  Water Sports,229,$$
San Diego Surf School,"4850 Cass St, San Diego, CA 92109-2623",Classes  Workshops,229,$$
Segway of Pacific Beach,"4150 Mission Blvd Ste 141, San Diego, CA 92109-5053",Tours,204,$$
Baja Winery Tours,"4629 Cass St # 2, San Diego, CA 92109-2805",Food  Drink,172,$$$
Wave House,"3125 Ocean Front Walk, San Diego, CA 92109-8730",Things to do,162,$$
PB Ale House,"721 Grand Ave, San Diego, CA 92109-3905",Things to do,128,$$
Seaforth Boat Rental &Tours,"1641 Quivira Rd, San Diego, CA 92109-7801",Boat Tours  Water Sports,126,$$
San Diego Parasailing Adventures,"1842 Quivira Way Marina Village, San Diego, CA 92109-8313",Boat Tours  Water Sports,120,$$
San Diego Surf Lessons,"4121 Mission Blvd, San Diego, CA 92109-5002",Boat Tours  Water Sports,88,$$
Offshore Blue Adventures,"1500 Quivira Way, San Diego, CA 92109-8303",Boat Tours  Water Sports,86,$$
Barefoot Bar and Grill,"1404 Vacation Village Road, San Diego, CA",Nightlife,79,$
Bahia Belle,"998 W Mission Bay Dr, San Diego, CA 92109-7803",Tours,71,$$
On The Fly Fishing Charters,"2580 Ingraham St, San Diego, CA 92109-7909",Boat Tours  Water Sports,63,$$
Surfari Surf School,"3740 Mission Blvd, San Diego, CA 92109-7135",Boat Tours  Water Sports,60,$$
Malarky Sailing Charters,"1441 Quivira Rd, San Diego, CA 92109-7805",Boat Tours  Water Sports,59,$$
Travel You To The Moon,"4455 Lamont St, San Diego, CA 92109-4589",Boat Tours  Water Sports,55,$$
