Name,Address,Category,# of Reviews,Cost
Daybreak Island Grill,2296 Bacon St,Breakfast & Brunch,5111,$$
Bravo's Mexican Bistro & Cantina,5001 Newport Ave,Mexican,3054,$$
Caveman Pizza,1404 Vacation Rd,Pizza,2594,$$
Barefoot Bar & Grill,1404 Vacation Rd,American (New),1526,$$$
Saska's,3768 Mission Blvd,Steakhouses,1501,$$$$
Run for Cover Bookstore & Cafe,4912 Voltaire St,Cafes,1479,$$
Val's Coffee Corner,2244 Bacon St,Coffee & Tea,1210,$$
Tropics Bar & Grill,1404 Vacation Rd,American (New),1142,$$$
WOW Cafe,5091 Niagara Ave,Fish & Chips,1119,$$
Beach House Grill,3125 Ocean Front Walk,Bars,1024,$$
The 3rd Corner,2265 Bacon St,Wine Bars,1004,$$$
Draft,3105 Ocean Front Walk,American (Traditional),842,$$$$
La Playa Taco Shop,3973 Mission Blvd,Tacos,746,$$
ZoZo's Pizza Mission Beach,728 Ventura Pl,Pizza,742,$$
Capri Pizza And Grill,2909 Mission Blvd,Pizza,692,$$
Juice Wave,3733 Mission Blvd,Juice Bars & Smoothies,610,$$
Cafe By The Bay,3510 Ingraham St,Cafes,579,$$
The Mission Cafe,3795 Mission Blvd,Coffee & Tea,558,$$
Sara's Mexican Food,2907 Mission Blvd,Mexican,546,$$
Rocky's Crown Pub,3786 Ingraham St,Burgers,528,$$
Ocean Beach Pier Cafe,5091 Niagara Ave,Seafood,485,$$$
Tiki Port,2201 Cable St,Juice Bars & Smoothies,475,$$
Cafe Marea,3819 Mission Blvd,Breakfast & Brunch,461,$$
Harry's Market,750 Ventura Pl,Grocery,453,$
Roberto's Taco Shop,4770 Voltaire St,Mexican,441,$$
Sapporo Japanese Restaurant,5049 Newport Ave,Sushi Bars,419,$$$
NoW Cafe,844 W Mission Bay Dr,Cafes,416,$$
Voltaire Beach House,4934 Voltaire St,American (New),402,$$$
Cafe 64,500 Seaworld Dr,Burgers,399,$$
Hot Dog On A Stick,3000-3044 Ocean Front Walk,Hot Dogs,398,$
Rosaria Pizza,3741 Mission Blvd,Pizza,380,$$
Ocean Beach Kabob,4994 Newport Ave,Mediterranean,367,$$
Surf Rider Pizza,3453 Ingraham St,Pizza,348,$$
It's Raw Poke Shop,4991 Newport Ave,Poke,332,$
The Firefly Restaurant & Bar,1710 W Mission Bay Dr,American (New),328,$$$$
Sportsmen's Seafood Fish Processing,1617 Quivira Rd,Seafood,327,$$$
OB Brewery,5041 Newport Ave,Breweries,326,$$
Arslan's Gyros,3861 Mission Blvd,Greek,322,$$
Te Mana Cafe,4956 Voltaire St,Hawaiian,316,$$
Tidal,1404 Vacation Rd,Seafood,302,$$$$
Mizu,850 W Mission Bay Dr,Sushi Bars,302,$$$
Sunshine Company Saloon,5028 Newport Ave,Sports Bars,295,$$
Ruriberto's Taco Shop,3202 Mission Blvd,Tacos,295,$$
OB Noodle House,2218 Cable St,Asian Fusion,294,$$
Beach Bowls,2893 Mission Blvd,Pop-Up Restaurants,292,$$
Cheesy Express,3219 Mission Blvd,Sandwiches,280,$
Newbreak Coffee & Cafe,1959 Abbott St,Coffee & Tea,277,$$
Subway,826 W Mission Bay Dr,Sandwiches,277,$
OB Surf Lodge,5083 Santa Monica Ave,Breakfast & Brunch,274,$$
Guava Beach,3714 Mission Blvd,Sports Bars,266,$$
Red Marlin Restaurant,1441 Quivira Rd,Seafood,263,$$$$
Coaster Saloon,744 Ventura Pl,Beer Bar,251,$$
Caribbean Escape,3231 Mission Blvd,Caribbean,248,$$
Oceana Coastal Kitchen,3999 Mission Blvd,Sushi Bars,244,$$$
Bayside Landing,3780 Ingraham St,American (New),236,$$$
Hungry Lu's Italian Deli & bakery,4920 Voltaire St,Desserts,229,$
The Menu,3784 Ingraham St,Breakfast & Brunch,218,$$
Luigi's At The Beach,3210 Mission Blvd,Italian,206,$$$
Swell Coffee,3833 Mission Blvd,Coffee & Tea,190,$$
Ocean Beach People's Organic Food Market,4765 Voltaire St,Health Markets,188,$$
Olive Baking,735 Santa Clara Pl,Bakeries,180,$
South Mission Beach Grill,2893 Mission Blvd,Burgers,171,$$
Hodad's,5010 Newport Ave,Burgers,165,$$
Kaiserhof German American Restaurant,2253 Sunset Cliffs Blvd,German,152,$$
Olive Cafe,805 Santa Clara Pl,Breakfast & Brunch,149,$$
Jack In the Box,4815 Voltaire St,Fast Food,149,$$
Sandbar Sportsbar & Grill,718 Ventura Pl,Sports Bars,139,$$
Surf Rider Pizza Co.,3770 Mission Blvd,Pizza,129,$$
Cafe Bahia,998 W Mission Bay Dr,American (New),120,$$$
Mike's Taco Club,5060 Newport Ave,Mexican,115,$$
Marcy's Mexican Food,756 Ventura Pl,Mexican,113,$$
Gabbiano Pizza,2912 Mission Blvd,Pizza,109,$$
Plant Power Fast Food,2204 Sunset Cliffs Blvd,Vegan,108,$$
Landing Grille,1717 Quivira Rd,Seafood,102,$$$
Creperie,3146  Mission Blvd,Creperies,94,$$
Dock House Baja Grill,1840 Quivira Way,American (New),93,$$$
Shipwreck Reef Cafe,500 Sea World Dr,Cafes,81,$$
The Grounds Bean Bar,1571 La Playa Ave,Coffee & Tea,72,$$
Cannonball,3105 Ocean Front Walk,Sushi Bars,72,$$$
Soulshine,3864 Mission Blvd,Vegan,71,$$
The Tilted Stick,4970 Voltaire St,Dive Bars,69,$$
Pizza Port Ocean Beach,1956 Bacon St,Pizza,68,$$
Livingston's Chicken Kitchen,5026 Newport Ave,Mexican,65,$$
Dockhouse Deli,1840 Quivira Way,Delis,63,$$
Liticker's Liquor & Deli,4955 Voltaire St,Mexican,59,$$
Nautilus Pavilion,500 Sea World Dr,American (Traditional),47,$$$$
Bao Beach,3735 Mission Blvd,Asian Fusion,36,$$
South Beach Bar & Grille,5059 Newport Ave,Seafood,33,$$$
Mother's Saloon,2228 Bacon St,Sports Bars,32,$$
O.B. Smoothie Bar & Subs,5001 Newport Ave,Juice Bars & Smoothies,31,$$
Chris' Liquor & Deli,2275 Sunset Cliffs Blvd,"Beer, Wine & Spirits",25,$$
BBQ House Bar & Grill,5025 Newport Ave,Bars,23,$$
Single Fin Surf Grill,3844 Mission Blvd,Bars,23,$$
Surf Rider Pizza,2163 Abbott St,Pizza,22,$$
Miss B's Coconut Club,3704 Mission Blvd,Caribbean,20,$$
OB Quik Stop Liquor & Deli,4984 Voltaire St,"Beer, Wine & Spirits",13,$$
O.B. Garden Café,4741 Voltaire St,Cafes,10,$$
Wonderland Ocean Pub,5083 Santa Monica Ave,American (New),7,$$$
BO-beau kitchen + bar,4996 W Point Loma Blvd,French,6,$$$$
Kojack's,714 Ventura Pl,Greek,5,$$
The Patio Express,3415 Mission Blvd,Cafes,3,$$
Belmonty's Burgers,3146 Mission Blvd,Burgers,2,$$
Newport Pizza & Ale House,5050 Newport Ave,Pizza,2,$$
OB Deli,4984 Voltaire St,Delis,1,$$
